"","Sell Order","From","Quantity","Buy Price","Net Costs","Take To","Sell Price","Net Sales","Gross Margin","Sell Taxes","Net Profit","Profit Per Item","R.O.I","Total Volume (m3)"
"","125mm Light Prototype Automatic Cannon","Amarr","1","196,888.80","196,888.80","Jita","485,001.00","485,001.00","288,112.20","13,580.03","274,532.17","274,532.17","139.4%","5.00"
"","125mm Gatling AutoCannon II","Hek","1","52,500.00","52,500.00","Rens","329,013.16","329,013.16","276,513.16","9,212.37","267,300.79","267,300.79","509.1%","5.00"
"","125mm Gatling AutoCannon II","Hek","1","52,500.00","52,500.00","Dodixie","327,000.53","327,000.53","274,500.53","9,156.01","265,344.52","265,344.52","505.4%","5.00"
"","Heuristic Selfassemblers","Dodixie","13","500,000.00","6,500,000.00","Jita","780,000.00","10,140,000.00","3,640,000.00","283,920.00","3,356,080.00","258,160.00","51.6%","0.13"
"","Small Focused Modulated Energy Beam I","Rens","1","600,000.10","600,000.10","Amarr","867,690.00","867,690.00","267,689.90","24,295.32","243,394.58","243,394.58","40.6%","5.00"
"","Corelum C-Type Energized Thermal Membrane","Dodixie","1","1,500,000.00","1,500,000.00","Jita","1,790,184.05","1,790,184.05","290,184.05","50,125.15","240,058.90","240,058.90","16.0%","5.00"
"","1200mm Heavy 'Scout' Artillery I","Dodixie","1","285,000.00","285,000.00","Hek","501,111.04","501,111.04","216,111.04","14,031.11","202,079.93","202,079.93","70.9%","20.00"
"","Federation Navy Fleet Colonel Insignia II","Amarr","1","950,000.00","950,000.00","Jita","1,170,048.99","1,170,048.99","220,048.99","32,761.37","187,287.62","187,287.62","19.7%","0.10"
"","1200mm Heavy 'Scout' Artillery I","Dodixie","1","285,000.00","285,000.00","Amarr","470,018.11","470,018.11","185,018.11","13,160.51","171,857.60","171,857.60","60.3%","20.00"
"","125mm Light Gallium Machine Gun","Dodixie","1","100,000.00","100,000.00","Jita","249,000.37","249,000.37","149,000.37","6,972.01","142,028.36","142,028.36","142.0%","5.00"
"","Heuristic Selfassemblers","Dodixie","13","500,000.00","6,500,000.00","Amarr","656,001.05","8,528,013.65","2,028,013.65","238,784.38","1,789,229.27","137,633.02","27.5%","0.13"
"","Sleeper Nanite Cluster","Rens","1","2,398,988.98","2,398,988.98","Jita","2,600,001.03","2,600,001.03","201,012.05","72,800.03","128,212.02","128,212.02","5.3%","0.10"
"","Drone Transceiver","Dodixie","2","1,000,000.00","2,000,000.00","Jita","1,160,001.01","2,320,002.02","320,002.02","64,960.06","255,041.96","127,520.98","12.8%","0.02"
"","High-Tech Manufacturing Tools","Amarr","1","960,007.63","960,007.63","Jita","1,115,005.01","1,115,005.01","154,997.38","31,220.14","123,777.24","123,777.24","12.9%","0.01"
"","Process Decryptor","Hek","1","325,000.00","325,000.00","Amarr","447,000.01","447,000.01","122,000.01","12,516.00","109,484.01","109,484.01","33.7%","0.10"
"","Coreli A-Type EM Plating","Dodixie","1","200,001.95","200,001.95","Amarr","302,122.22","302,122.22","102,120.27","8,459.42","93,660.85","93,660.85","46.8%","5.00"
"","Centii A-Type Kinetic Plating","Rens","1","300,000.00","300,000.00","Jita","405,000.07","405,000.07","105,000.07","11,340.00","93,660.07","93,660.07","31.2%","5.00"
"","Coreli A-Type EM Plating","Dodixie","1","200,001.95","200,001.95","Jita","302,012.69","302,012.69","102,010.74","8,456.36","93,554.38","93,554.38","46.8%","5.00"
"","720mm 'Scout' Artillery I","Hek","2","1,751,005.01","3,502,010.02","Amarr","1,897,688.80","3,795,377.60","293,367.58","106,270.57","187,097.01","93,548.50","5.3%","20.00"
"","Algos","Dodixie","2","935,000.00","1,870,000.00","Jita","1,050,004.85","2,100,009.70","230,009.70","58,800.27","171,209.43","85,604.71","9.2%","110,000.00"
"","Process Decryptor","Hek","1","325,000.00","325,000.00","Dodixie","422,001.71","422,001.71","97,001.71","11,816.05","85,185.66","85,185.66","26.2%","0.10"
"","Caldari Navy Captain Insignia III","Rens","3","799,999.96","2,399,999.88","Jita","908,417.96","2,725,253.88","325,254.00","76,307.11","248,946.89","82,982.30","10.4%","0.30"
"","Focused Medium Beam Laser I","Rens","4","160,000.00","640,000.00","Jita","249,000.01","996,000.04","356,000.04","27,888.00","328,112.04","82,028.01","51.3%","40.00"
"","Talwar","Amarr","1","900,000.00","900,000.00","Jita","1,005,899.97","1,005,899.97","105,899.97","28,165.20","77,734.77","77,734.77","8.6%","43,000.00"
"","Nereus","Dodixie","1","799,997.91","799,997.91","Jita","902,008.16","902,008.16","102,010.25","25,256.23","76,754.02","76,754.02","9.6%","240,000.00"
"","720mm 'Scout' Artillery I","Hek","2","1,751,005.01","3,502,010.02","Jita","1,880,000.62","3,760,001.24","257,991.22","105,280.03","152,711.19","76,355.59","4.4%","20.00"
"","Republic Fleet High Captain Insignia I","Dodixie","2","800,000.00","1,600,000.00","Amarr","900,007.55","1,800,015.10","200,015.10","50,400.42","149,614.68","74,807.34","9.4%","0.20"
"","Augmentation Decryptor","Hek","1","1,050,000.00","1,050,000.00","Jita","1,156,620.00","1,156,620.00","106,620.00","32,385.36","74,234.64","74,234.64","7.1%","0.10"
"","Energized EM Membrane II","Rens","5","629,998.00","3,149,990.00","Jita","720,000.02","3,600,000.10","450,010.10","100,800.00","349,210.10","69,842.02","11.1%","25.00"
"","Modal Light Electron Particle Accelerator I","Dodixie","1","100,000.00","100,000.00","Jita","171,002.37","171,002.37","71,002.37","4,788.07","66,214.30","66,214.30","66.2%","5.00"
"","Algos","Amarr","2","955,999.99","1,911,999.98","Jita","1,050,004.85","2,100,009.70","188,009.72","58,800.27","129,209.45","64,604.72","6.8%","110,000.00"
"","150mm Light Carbine Repeating Cannon I","Amarr","3","20,000.00","60,000.00","Rens","87,000.00","261,000.00","201,000.00","7,308.00","193,692.00","64,564.00","322.8%","15.00"
"","Modal Light Electron Particle Accelerator I","Dodixie","1","100,000.00","100,000.00","Amarr","168,674.12","168,674.12","68,674.12","4,722.88","63,951.24","63,951.24","64.0%","5.00"
"","Process Decryptor","Hek","1","325,000.00","325,000.00","Rens","400,000.52","400,000.52","75,000.52","11,200.01","63,800.51","63,800.51","19.6%","0.10"
"","Focused Modulated Medium Energy Beam I","Rens","1","1,400,000.03","1,400,000.03","Jita","1,505,175.14","1,505,175.14","105,175.11","42,144.90","63,030.21","63,030.21","4.5%","10.00"
"","Talocan Reflective Sheets","Jita","1","40,000.00","40,000.00","Rens","105,000.01","105,000.01","65,000.01","2,940.00","62,060.01","62,060.01","155.2%","1.00"
"","Modal Ion Particle Accelerator I","Dodixie","1","279,999.00","279,999.00","Jita","351,000.01","351,000.01","71,001.01","9,828.00","61,173.01","61,173.01","21.8%","10.00"
"","Kernite Mining Crystal II","Jita","104","200,002.41","20,800,250.64","Amarr","267,689.68","27,839,726.72","7,039,476.08","779,512.35","6,259,963.73","60,191.96","30.1%","1,040.00"
"","720mm Prototype Siege Cannon","Dodixie","1","200,000.00","200,000.00","Amarr","267,001.00","267,001.00","67,001.00","7,476.03","59,524.97","59,524.97","29.8%","10.00"
"","Kryos","Dodixie","1","817,978.09","817,978.09","Jita","900,000.18","900,000.18","82,022.09","25,200.01","56,822.08","56,822.08","6.9%","245,000.00"
"","Small Precursor Weapon","Jita","11","99,999.00","1,099,989.00","Hek","160,000.00","1,760,000.00","660,011.00","49,280.00","610,731.00","55,521.00","55.5%","0.11"
"","1200mm Heavy 'Scout' Artillery I","Dodixie","1","285,000.00","285,000.00","Rens","350,044.78","350,044.78","65,044.78","9,801.25","55,243.53","55,243.53","19.4%","20.00"
"","Tachyon Anode Particle Stream I","Hek","1","399,001.05","399,001.05","Jita","465,004.86","465,004.86","66,003.81","13,020.14","52,983.67","52,983.67","13.3%","20.00"
"","Tachyon Anode Particle Stream I","Dodixie","1","400,000.00","400,000.00","Jita","465,004.86","465,004.86","65,004.86","13,020.14","51,984.72","51,984.72","13.0%","20.00"
"","Federation Navy Sergeant Insignia III","Amarr","2","50,000.00","100,000.00","Jita","103,829.93","207,659.86","107,659.86","5,814.48","101,845.38","50,922.69","101.8%","0.20"
"","Nano-Factory","Dodixie","5","1,080,000.63","5,400,003.15","Jita","1,161,060.01","5,805,300.05","405,296.90","162,548.40","242,748.50","48,549.70","4.5%","500.00"
"","200mm Light Prototype Automatic Cannon","Dodixie","1","100,000.00","100,000.00","Rens","152,000.12","152,000.12","52,000.12","4,256.00","47,744.12","47,744.12","47.7%","5.00"
"","Talocan Reflective Sheets","Jita","1","40,000.00","40,000.00","Dodixie","90,127.38","90,127.38","50,127.38","2,523.57","47,603.81","47,603.81","119.0%","1.00"
"","Medium Shield Booster II","Dodixie","4","584,899.98","2,339,599.92","Rens","650,002.60","2,600,010.40","260,410.48","72,800.29","187,610.19","46,902.55","8.0%","40.00"
"","Medium Gremlin Compact Energy Neutralizer","Dodixie","1","150,000.00","150,000.00","Amarr","202,000.14","202,000.14","52,000.14","5,656.00","46,344.14","46,344.14","30.9%","5.00"
"","125mm Light Prototype Automatic Cannon","Amarr","1","196,888.80","196,888.80","Rens","250,000.00","250,000.00","53,111.20","7,000.00","46,111.20","46,111.20","23.4%","5.00"
"","Precursor Frigate","Jita","15","399,999.00","5,999,985.00","Rens","457,801.03","6,867,015.45","867,030.45","192,276.43","674,754.02","44,983.60","11.2%","0.15"
"","Mega Modulated Energy Beam I","Hek","1","300,000.00","300,000.00","Amarr","354,401.08","354,401.08","54,401.08","9,923.23","44,477.85","44,477.85","14.8%","20.00"
"","Dual Heavy Anode Pulse Particle Stream I","Dodixie","1","10,558.00","10,558.00","Jita","55,177.10","55,177.10","44,619.10","1,544.96","43,074.14","43,074.14","408.0%","20.00"
"","Power Conduit","Rens","1","500,000.00","500,000.00","Hek","558,403.74","558,403.74","58,403.74","15,635.30","42,768.44","42,768.44","8.6%","0.01"
"","125mm Light Gallium Machine Gun","Rens","1","200,084.84","200,084.84","Jita","249,000.37","249,000.37","48,915.53","6,972.01","41,943.52","41,943.52","21.0%","5.00"
"","125mm Light Prototype Automatic Cannon","Rens","1","430,000.00","430,000.00","Jita","485,001.00","485,001.00","55,001.00","13,580.03","41,420.97","41,420.97","9.6%","5.00"
"","Corelum C-Type Energized Kinetic Membrane","Dodixie","1","500,000.00","500,000.00","Amarr","557,000.01","557,000.01","57,000.01","15,596.00","41,404.01","41,404.01","8.3%","5.00"
"","Wreathe","Hek","9","645,000.00","5,805,000.00","Jita","705,000.10","6,345,000.90","540,000.90","177,660.03","362,340.87","40,260.10","6.2%","2,025,000.00"
"","Angel Copper Tag","Amarr","1","100,000.00","100,000.00","Rens","144,000.20","144,000.20","44,000.20","4,032.01","39,968.19","39,968.19","40.0%","0.10"
"","Accelerant Decryptor","Hek","1","380,006.35","380,006.35","Jita","432,004.93","432,004.93","51,998.58","12,096.14","39,902.44","39,902.44","10.5%","0.10"
"","1200mm Heavy Gallium Cannon","Rens","1","350,000.00","350,000.00","Jita","400,000.10","400,000.10","50,000.10","11,200.00","38,800.10","38,800.10","11.1%","20.00"
"","Regulated Mega Ion Phase Cannon I","Hek","1","195,000.00","195,000.00","Dodixie","240,002.01","240,002.01","45,002.01","6,720.06","38,281.95","38,281.95","19.6%","20.00"
"","Takmahl Centrifugal Primer","Amarr","1","449,999.00","449,999.00","Jita","502,000.02","502,000.02","52,001.02","14,056.00","37,945.02","37,945.02","8.4%","1.00"
"","7th Tier Overseer's Personal Effects","Rens","1","458,768.00","458,768.00","Dodixie","511,000.00","511,000.00","52,232.00","14,308.00","37,924.00","37,924.00","8.3%","10.00"
"","Focused Modal Pulse Laser I","Dodixie","1","145,000.00","145,000.00","Amarr","187,787.96","187,787.96","42,787.96","5,258.06","37,529.90","37,529.90","25.9%","10.00"
"","Ice Mining Laser I","Hek","1","195,833.05","195,833.05","Dodixie","240,000.00","240,000.00","44,166.95","6,720.00","37,446.95","37,446.95","19.1%","5.00"
"","Catalyst","Dodixie","1","849,999.00","849,999.00","Jita","912,000.02","912,000.02","62,001.02","25,536.00","36,465.02","36,465.02","4.3%","55,000.00"
"","Large Freight Container","Dodixie","4","157,935.00","631,740.00","Amarr","200,000.00","800,000.00","168,260.00","22,400.00","145,860.00","36,465.00","23.1%","40,000.00"
"","Trigger Unit","Rens","1","450,000.00","450,000.00","Amarr","500,107.03","500,107.03","50,107.03","14,003.00","36,104.03","36,104.03","8.0%","0.01"
"","Enriched Clear Icicle","Jita","1","450,000.00","450,000.00","Dodixie","500,000.00","500,000.00","50,000.00","14,000.00","36,000.00","36,000.00","8.0%","1,000.00"
"","Cynosural Field Generator I","Dodixie","1","300,000.00","300,000.00","Jita","345,008.42","345,008.42","45,008.42","9,660.24","35,348.18","35,348.18","11.8%","50.00"
"","Executioner","Dodixie","319","300,000.00","95,700,000.00","Jita","345,000.00","110,055,000.00","14,355,000.00","3,081,540.00","11,273,460.00","35,340.00","11.8%","8,963,900.00"
"","150mm Light Carbine Repeating Cannon I","Dodixie","6","50,000.00","300,000.00","Rens","87,000.00","522,000.00","222,000.00","14,616.00","207,384.00","34,564.00","69.1%","30.00"
"","Focused Medium Beam Laser I","Rens","3","160,000.00","480,000.00","Amarr","200,000.00","600,000.00","120,000.00","16,800.00","103,200.00","34,400.00","21.5%","30.00"
"","Mining Drone II","Amarr","1","739,999.98","739,999.98","Dodixie","795,778.83","795,778.83","55,778.85","22,281.81","33,497.04","33,497.04","4.5%","5.00"
"","Probe","Amarr","49","298,996.99","14,650,852.51","Jita","341,968.09","16,756,436.41","2,105,583.90","469,180.22","1,636,403.68","33,395.99","11.2%","955,500.00"
"","1200mm Heavy 'Scout' Artillery I","Jita","1","455,000.00","455,000.00","Hek","501,111.04","501,111.04","46,111.04","14,031.11","32,079.93","32,079.93","7.1%","20.00"
"","Women's Frostline Exploration Suit","Dodixie","1","615,970.00","615,970.00","Jita","666,666.00","666,666.00","50,696.00","18,666.65","32,029.35","32,029.35","5.2%","0.10"
"","Limited Energized EM Membrane I","Dodixie","1","20,000.00","20,000.00","Jita","53,015.09","53,015.09","33,015.09","1,484.42","31,530.67","31,530.67","157.7%","5.00"
"","Datacore - Nuclear Physics","Hek","2","45,000.00","90,000.00","Amarr","78,677.95","157,355.90","67,355.90","4,405.97","62,949.93","31,474.97","69.9%","0.20"
"","150mm Light Carbine Repeating Cannon I","Hek","1","54,999.99","54,999.99","Rens","87,000.00","87,000.00","32,000.01","2,436.00","29,564.01","29,564.01","53.8%","5.00"
"","Upgraded Armor Explosive Hardener I","Hek","1","169,999.00","169,999.00","Dodixie","205,005.30","205,005.30","35,006.30","5,740.15","29,266.15","29,266.15","17.2%","5.00"
"","Ice Harvester Upgrade II","Jita","4","700,000.00","2,800,000.00","Dodixie","750,000.00","3,000,000.00","200,000.00","84,000.00","116,000.00","29,000.00","4.1%","20.00"
"","Takmahl Magnetic Slab","Dodixie","1","30,000.00","30,000.00","Jita","60,001.00","60,001.00","30,001.00","1,680.03","28,320.97","28,320.97","94.4%","1.00"
"","Dual 650mm Carbine Repeating Cannon I","Dodixie","1","172,000.00","172,000.00","Jita","206,011.07","206,011.07","34,011.07","5,768.31","28,242.76","28,242.76","16.4%","20.00"
"","Datacore - Nuclear Physics","Hek","2","45,000.00","90,000.00","Jita","74,306.14","148,612.28","58,612.28","4,161.14","54,451.14","27,225.57","60.5%","0.20"
"","Talocan Automation Accounts","Amarr","1","149,999.00","149,999.00","Jita","182,010.00","182,010.00","32,011.00","5,096.28","26,914.72","26,914.72","17.9%","1.00"
"","Upgraded Armor Explosive Hardener I","Hek","1","169,999.00","169,999.00","Jita","201,626.00","201,626.00","31,627.00","5,645.53","25,981.47","25,981.47","15.3%","5.00"
"","Wrecked Thruster Sections","Jita","1","168,497.93","168,497.93","Amarr","200,005.00","200,005.00","31,507.07","5,600.14","25,906.93","25,906.93","15.4%","10.00"
"","150mm Light Carbine Repeating Cannon I","Jita","1","58,999.00","58,999.00","Rens","87,000.00","87,000.00","28,001.00","2,436.00","25,565.00","25,565.00","43.3%","5.00"
"","Sleeper Micro Circuits","Rens","1","170,000.00","170,000.00","Amarr","201,000.00","201,000.00","31,000.00","5,628.00","25,372.00","25,372.00","14.9%","1.00"
"","Anode Mega Electron Particle Cannon I","Dodixie","1","175,000.00","175,000.00","Jita","206,013.05","206,013.05","31,013.05","5,768.37","25,244.68","25,244.68","14.4%","20.00"
"","Small F-S9 Regolith Compact Shield Extender","Jita","3","375,000.00","1,125,000.00","Amarr","411,017.02","1,233,051.06","108,051.06","34,525.43","73,525.63","24,508.54","6.5%","15.00"
"","Impetus Console","Hek","5","350,000.00","1,750,000.00","Amarr","385,005.00","1,925,025.00","175,025.00","53,900.70","121,124.30","24,224.86","6.9%","0.05"
"","Impetus Console","Rens","6","350,000.00","2,100,000.00","Amarr","385,005.00","2,310,030.00","210,030.00","64,680.84","145,349.16","24,224.86","6.9%","0.06"
"","Yan Jung Void Machine","Dodixie","1","40,000.00","40,000.00","Jita","64,001.00","64,001.00","24,001.00","1,792.03","22,208.97","22,208.97","55.5%","0.10"
"","Takmahl Diamond Rod","Hek","1","10,000.00","10,000.00","Jita","33,012.01","33,012.01","23,012.01","924.34","22,087.67","22,087.67","220.9%","1.00"
"","5MN Y-T8 Compact Microwarpdrive","Hek","1","300,000.00","300,000.00","Jita","331,010.00","331,010.00","31,010.00","9,268.28","21,741.72","21,741.72","7.2%","10.00"
"","Inquisitor","Amarr","80","299,991.61","23,999,328.80","Jita","331,000.00","26,480,000.00","2,480,671.20","741,440.00","1,739,231.20","21,740.39","7.2%","2,296,000.00"
"","Inquisitor","Rens","60","299,999.00","17,999,940.00","Jita","331,000.00","19,860,000.00","1,860,060.00","556,080.00","1,303,980.00","21,733.00","7.2%","1,722,000.00"
"","Impetus Console","Hek","5","350,000.00","1,750,000.00","Jita","382,215.00","1,911,075.00","161,075.00","53,510.10","107,564.90","21,512.98","6.1%","0.05"
"","Impetus Console","Rens","6","350,000.00","2,100,000.00","Jita","382,215.00","2,293,290.00","193,290.00","64,212.12","129,077.88","21,512.98","6.1%","0.06"
"","Dual Modulated Light Energy Beam I","Dodixie","5","199,999.00","999,995.00","Amarr","227,886.85","1,139,434.25","139,439.25","31,904.16","107,535.09","21,507.02","10.8%","25.00"
"","1200mm Heavy 'Scout' Artillery I","Dodixie","1","285,000.00","285,000.00","Jita","315,180.01","315,180.01","30,180.01","8,825.04","21,354.97","21,354.97","7.5%","20.00"
"","Trigger Unit","Rens","14","470,000.00","6,580,000.00","Dodixie","505,189.41","7,072,651.74","492,651.74","198,034.25","294,617.49","21,044.11","4.5%","0.14"
"","Medium Gremlin Compact Energy Neutralizer","Dodixie","1","150,000.00","150,000.00","Jita","175,011.03","175,011.03","25,011.03","4,900.31","20,110.72","20,110.72","13.4%","5.00"
"","Mega Modulated Energy Beam I","Dodixie","1","325,000.00","325,000.00","Amarr","354,401.08","354,401.08","29,401.08","9,923.23","19,477.85","19,477.85","6.0%","20.00"
"","Caldari Navy Captain Insignia II","Hek","5","175,075.58","875,377.90","Dodixie","200,006.04","1,000,030.20","124,652.30","28,000.85","96,651.45","19,330.29","11.0%","0.50"
"","Caldari Navy Captain Insignia II","Hek","5","175,075.58","875,377.90","Jita","200,000.00","1,000,000.00","124,622.10","28,000.00","96,622.10","19,324.42","11.0%","0.50"
"","Small F-S9 Regolith Compact Shield Extender","Jita","1","370,000.00","370,000.00","Rens","400,102.19","400,102.19","30,102.19","11,202.86","18,899.33","18,899.33","5.1%","5.00"
"","150mm Prototype Gauss Gun","Amarr","1","370,000.00","370,000.00","Jita","400,100.09","400,100.09","30,100.09","11,202.80","18,897.29","18,897.29","5.1%","5.00"
"","1200mm Heavy Gallium Cannon","Dodixie","1","370,000.00","370,000.00","Jita","400,000.10","400,000.10","30,000.10","11,200.00","18,800.10","18,800.10","5.1%","20.00"
"","Large Freight Container","Jita","4","175,897.87","703,591.48","Amarr","200,000.00","800,000.00","96,408.52","22,400.00","74,008.52","18,502.13","10.5%","40,000.00"
"","720mm Prototype Siege Cannon","Dodixie","1","200,000.00","200,000.00","Jita","224,580.41","224,580.41","24,580.41","6,288.25","18,292.16","18,292.16","9.1%","10.00"
"","Atron Aurora Universalis SKIN","Amarr","1","94,668.28","94,668.28","Dodixie","116,011.33","116,011.33","21,343.05","3,248.32","18,094.73","18,094.73","19.1%","0.01"
"","Heavy Modal Laser I","Rens","1","50,000.00","50,000.00","Jita","70,002.01","70,002.01","20,002.01","1,960.06","18,041.95","18,041.95","36.1%","10.00"
"","Compressed Crimson Arkonor","Hek","11","354,005.19","3,894,057.09","Jita","382,001.21","4,202,013.31","307,956.22","117,656.37","190,299.85","17,299.99","4.9%","96.80"
"","Power Circuit","Jita","8","392,000.00","3,136,000.00","Hek","421,003.02","3,368,024.16","232,024.16","94,304.68","137,719.48","17,214.94","4.4%","0.08"
"","Focused Medium Beam Laser I","Amarr","3","225,000.00","675,000.00","Jita","249,000.01","747,000.03","72,000.03","20,916.00","51,084.03","17,028.01","7.6%","30.00"
"","Men's Aurora Universalis T-Shirt","Amarr","1","128,888.88","128,888.88","Jita","150,000.00","150,000.00","21,111.12","4,200.00","16,911.12","16,911.12","13.1%","0.10"
"","Small Precursor Weapon","Jita","8","99,999.00","799,992.00","Dodixie","119,999.71","959,997.68","160,005.68","26,879.94","133,125.74","16,640.72","16.6%","0.08"
"","Modal Light Ion Particle Accelerator I","Dodixie","2","100,000.00","200,000.00","Amarr","120,000.01","240,000.02","40,000.02","6,720.00","33,280.02","16,640.01","16.6%","10.00"
"","Pithum C-Type Explosive Deflection Amplifier","Jita","2","100,003.10","200,006.20","Dodixie","120,000.00","240,000.00","39,993.80","6,720.00","33,273.80","16,636.90","16.6%","10.00"
"","Power Circuit","Jita","8","392,000.00","3,136,000.00","Rens","420,402.01","3,363,216.08","227,216.08","94,170.05","133,046.03","16,630.75","4.2%","0.08"
"","Venture","Dodixie","8","234,999.98","1,879,999.84","Jita","258,600.00","2,068,800.00","188,800.16","57,926.40","130,873.76","16,359.22","7.0%","236,000.00"
"","Symmetry Decryptor","Hek","33","350,000.00","11,550,000.00","Amarr","376,889.78","12,437,362.74","887,362.74","348,246.16","539,116.58","16,336.87","4.7%","3.30"
"","Regulated Mega Ion Phase Cannon I","Hek","1","195,000.00","195,000.00","Jita","217,000.00","217,000.00","22,000.00","6,076.00","15,924.00","15,924.00","8.2%","20.00"
"","125mm Light Carbine Repeating Cannon I","Dodixie","1","130,000.00","130,000.00","Jita","150,001.16","150,001.16","20,001.16","4,200.03","15,801.13","15,801.13","12.2%","5.00"
"","Men's Aurora Universalis T-Shirt","Hek","2","130,000.00","260,000.00","Jita","150,000.00","300,000.00","40,000.00","8,400.00","31,600.00","15,800.00","12.2%","0.20"
"","Men's Permaband Tour Cap","Amarr","1","20,272.96","20,272.96","Hek","37,000.00","37,000.00","16,727.04","1,036.00","15,691.04","15,691.04","77.4%","0.10"
"","1200mm Heavy Prototype Siege Cannon","Dodixie","1","374,000.00","374,000.00","Jita","400,000.06","400,000.06","26,000.06","11,200.00","14,800.06","14,800.06","4.0%","20.00"
"","Hound Exoplanets Hunter SKIN","Jita","1","155,656.69","155,656.69","Amarr","175,000.00","175,000.00","19,343.31","4,900.00","14,443.31","14,443.31","9.3%","0.01"
"","Women's Permaband Tour Cap","Amarr","1","10,000.00","10,000.00","Jita","25,000.02","25,000.02","15,000.02","700.00","14,300.02","14,300.02","143.0%","0.10"
"","Ice Mining Laser I","Amarr","1","218,995.66","218,995.66","Dodixie","240,000.00","240,000.00","21,004.34","6,720.00","14,284.34","14,284.34","6.5%","5.00"
"","Datacore - Minmatar Starship Engineering","Hek","16","50,163.12","802,609.92","Dodixie","66,074.53","1,057,192.48","254,582.56","29,601.39","224,981.17","14,061.32","28.0%","1.60"
"","Ice Mining Laser I","Jita","1","220,000.00","220,000.00","Dodixie","240,000.00","240,000.00","20,000.00","6,720.00","13,280.00","13,280.00","6.0%","5.00"
"","Ice Mining Laser I","Rens","1","220,000.00","220,000.00","Dodixie","240,000.00","240,000.00","20,000.00","6,720.00","13,280.00","13,280.00","6.0%","5.00"
